"location_id","location_name","level"
1,"Global",0
4,"Southeast Asia, East Asia, and Oceania",1
5,"East Asia",2
6,"China",3
354,"Hong Kong Special Administrative Region of China",4
361,"Macao Special Administrative Region of China",4
44533,"China (without Hong Kong and Macao)",4
491,"Anhui",5
492,"Beijing",5
493,"Chongqing",5
494,"Fujian",5
495,"Gansu",5
496,"Guangdong",5
497,"Guangxi",5
498,"Guizhou",5
499,"Hainan",5
500,"Hebei",5
501,"Heilongjiang",5
502,"Henan",5
503,"Hubei",5
504,"Hunan",5
505,"Inner Mongolia",5
506,"Jiangsu",5
507,"Jiangxi",5
508,"Jilin",5
509,"Liaoning",5
510,"Ningxia",5
511,"Qinghai",5
512,"Shaanxi",5
513,"Shandong",5
514,"Shanghai",5
515,"Shanxi",5
516,"Sichuan",5
517,"Tianjin",5
518,"Tibet",5
519,"Xinjiang",5
520,"Yunnan",5
521,"Zhejiang",5
7,"North Korea",3
8,"Taiwan",3
9,"Southeast Asia",2
10,"Cambodia",3
11,"Indonesia",3
4709,"Aceh",4
4726,"Bali",4
4717,"Bangka-Belitung Islands",4
4725,"Banten",4
4715,"Bengkulu",4
4737,"Gorontalo",4
4720,"Jakarta",4
4713,"Jambi",4
4721,"West Java",4
4722,"Central Java",4
4724,"East Java",4
4729,"West Kalimantan",4
4731,"South Kalimantan",4
4730,"Central Kalimantan",4
4732,"East Kalimantan",4
4719,"North Kalimantan",4
4718,"Riau Islands",4
4716,"Lampung",4
4739,"Maluku",4
4740,"North Maluku",4
4727,"West Nusa Tenggara",4
4728,"East Nusa Tenggara",4
4742,"Papua",4
4741,"West Papua",4
4712,"Riau",4
4738,"West Sulawesi",4
4735,"South Sulawesi",4
4734,"Central Sulawesi",4
4736,"Southeast Sulawesi",4
4733,"North Sulawesi",4
4711,"West Sumatra",4
4714,"South Sumatra",4
4710,"North Sumatra",4
4723,"Yogyakarta",4
12,"Laos",3
13,"Malaysia",3
14,"Maldives",3
183,"Mauritius",3
15,"Myanmar",3
16,"Philippines",3
17,"Sri Lanka",3
186,"Seychelles",3
18,"Thailand",3
19,"Timor-Leste",3
20,"Vietnam",3
21,"Oceania",2
298,"American Samoa",3
25,"Federated States of Micronesia",3
22,"Fiji",3
351,"Guam",3
23,"Kiribati",3
24,"Marshall Islands",3
376,"Northern Mariana Islands",3
26,"Papua New Guinea",3
27,"Samoa",3
28,"Solomon Islands",3
29,"Tonga",3
30,"Vanuatu",3
31,"Central Europe, Eastern Europe, and Central Asia",1
32,"Central Asia",2
33,"Armenia",3
34,"Azerbaijan",3
35,"Georgia",3
36,"Kazakhstan",3
37,"Kyrgyzstan",3
38,"Mongolia",3
39,"Tajikistan",3
40,"Turkmenistan",3
41,"Uzbekistan",3
42,"Central Europe",2
43,"Albania",3
44,"Bosnia and Herzegovina",3
45,"Bulgaria",3
46,"Croatia",3
47,"Czech Republic",3
48,"Hungary",3
49,"Macedonia",3
50,"Montenegro",3
51,"Poland",3
52,"Romania",3
53,"Serbia",3
54,"Slovakia",3
55,"Slovenia",3
56,"Eastern Europe",2
57,"Belarus",3
58,"Estonia",3
59,"Latvia",3
60,"Lithuania",3
61,"Moldova",3
62,"Russia",3
44895,"Central Federal District",4
44903,"Belgorod Oblast",5
44904,"Bryansk Oblast",5
44907,"Ivanovo Oblast",5
44908,"Kaluga Oblast",5
44909,"Kostroma Oblast",5
44910,"Kursk Oblast",5
44911,"Lipetsk Oblast",5
44920,"Moscow City",5
44912,"Moscow Oblast",5
44913,"Oryol Oblast",5
44914,"Ryazan Oblast",5
44915,"Smolensk Oblast",5
44916,"Tambov Oblast",5
44918,"Tula Oblast",5
44917,"Tver Oblast",5
44905,"Vladimir Oblast",5
44906,"Voronezh Oblast",5
44919,"Yaroslavl Oblast",5
44902,"Far Eastern Federal District",4
44983,"Amur Oblast",5
44987,"Chukotka Autonomous Okrug",5
44986,"Jewish Autonomous Oblast",5
44980,"Kamchatka Krai",5
44982,"Khabarovsk Krai",5
44984,"Magadan Oblast",5
44981,"Primorsky Krai",5
44979,"Sakha Republic",5
44985,"Sakhalin Oblast",5
44898,"North Caucasian Federal District",4
44945,"Chechnya",5
44942,"Kabardino-Balkar Republic",5
44943,"Karachay-Cherkess Republic",5
44944,"North Ossetia-Alania",5
44940,"Republic of Dagestan",5
44941,"Republic of Ingushetia",5
44946,"Stavropol Krai",5
44896,"Northwestern Federal District",4
44924,"Arkhangelsk Oblast without Nenets Autonomous Okrug",5
44926,"Kaliningrad Oblast",5
44922,"Komi Republic",5
44927,"Leningrad Oblast",5
44928,"Murmansk Oblast",5
44923,"Nenets Autonomous Okrug",5
44929,"Novgorod Oblast",5
44930,"Pskov Oblast",5
44921,"Republic of Karelia",5
44931,"Saint Petersburg City",5
44925,"Vologda Oblast",5
44901,"Siberian Federal District",4
44971,"Altai Krai",5
44967,"Altai Republic",5
